algoritmo,tamanho_entrada,operacoes,tempo_ms,resposta
codigo1,31250000,15625000,11.59,7814540
codigo1,62500000,31250000,19.42,15624101
codigo1,125000000,62500000,33.24,31250158
codigo1,250000000,125000000,114.01,62490669
codigo1,500000000,250000000,165.98,124993980
codigo2,31250000,62500007,28.41,62500007
codigo2,62500000,125000007,46.34,125000007
codigo2,125000000,250000007,7.56,250000007
codigo2,250000000,500000007,11.10,500000007
codigo2,500000000,1000000007,32.45,1000000007
codigo3,12500,39096162,140.57,
codigo3,25000,157474013,606.61,
codigo3,50000,622726709,2628.52,
codigo3,100000,2499168890,13606.38,
codigo3,200000,9983566921,47041.07,
codigo4,3,3,0.01,2
codigo4,6,15,0.00,8
codigo4,12,287,0.02,144
codigo4,24,92735,0.39,46368
codigo4,48,9615053951,10645.26,512559680
